"Time (s)","Peak-Frequency"
1.379625038E1,2.343750000E2
1.389610177E1,1.406250000E2
1.400166823E1,2.109375000E2
1.409418116E1,1.406250000E2
1.419451131E1,2.109375000E2
1.429420031E1,2.343750000E2
1.439691777E1,2.109375000E2
1.449619254E1,2.343750000E2
1.459654177E1,2.578125000E2
1.469780116E1,2.578125000E2
1.480716208E1,1.406250000E2
1.490409908E1,4.921875000E2
1.499431592E1,1.406250000E2
1.509374916E1,4.921875000E2
1.519586608E1,1.640625000E2
1.529578708E1,1.640625000E2
1.539618462E1,1.640625000E2
1.549790485E1,1.640625000E2
1.560693938E1,9.375000000E1
1.570134608E1,1.406250000E2
1.579527908E1,1.640625000E2
1.589771077E1,3.046875000E2
1.599384216E1,1.640625000E2
1.609434985E1,5.625000000E2
1.619484977E1,1.875000000E2
1.629441408E1,1.640625000E2
1.639247285E1,4.921875000E2
1.649620308E1,4.921875000E2
1.659670616E1,2.109375000E2
1.669607346E1,4.921875000E2
1.679428339E1,1.640625000E2
1.689582854E1,1.640625000E2
1.699624331E1,1.406250000E2
1.709724554E1,3.984375000E2
1.721250823E1,3.515625000E2
1.729673469E1,1.640625000E2
1.739624208E1,1.406250000E2
1.749825816E1,1.406250000E2
1.760378054E1,3.281250000E2
1.769630831E1,3.984375000E2
1.779828431E1,2.109375000E2
1.789642639E1,3.984375000E2
1.799558585E1,2.109375000E2
1.809702646E1,2.343750000E2
1.819609046E1,1.171875000E2
1.829603931E1,1.640625000E2
1.841015346E1,2.343750000E2
1.849643069E1,3.750000000E2
1.859610708E1,3.984375000E2
1.869850492E1,9.375000000E1
1.880449631E1,9.375000000E1
1.889678392E1,3.281250000E2
1.899622608E1,5.859375000E2
1.909614000E1,1.406250000E2
1.920765777E1,4.218750000E2
1.929647446E1,1.406250000E2
1.939633254E1,2.264062500E4
1.949805077E1,1.640625000E2
1.959685777E1,1.640625000E2
1.969591846E1,3.281250000E2
1.979454523E1,3.046875000E2
1.989636239E1,2.109375000E2
1.999624577E1,1.968750000E3
2.009623477E1,5.859375000E2
2.019616823E1,1.640625000E2
2.029412731E1,1.640625000E2
2.039679716E1,1.171875000E2
2.049748339E1,1.640625000E2
2.059593346E1,4.687500000E2
2.069635077E1,1.875000000E2
2.079808054E1,2.109375000E2
2.090048392E1,2.109375000E2
2.099781077E1,9.375000000E1
2.109653592E1,1.875000000E2
2.119628823E1,1.875000000E2
2.129415539E1,1.640625000E2
2.139358946E1,5.390625000E2
2.149670492E1,9.375000000E1
2.159719846E1,1.875000000E2
2.169679016E1,2.578125000E2
2.180621169E1,1.406250000E2
2.189515692E1,1.640625000E2
2.199598585E1,9.375000000E1
2.209696392E1,1.985156250E4
2.220658339E1,3.281250000E2
2.229599685E1,2.109375000E2
2.239660831E1,1.640625000E2
2.249618977E1,1.640625000E2
2.260112369E1,2.578125000E2
2.269642739E1,2.578125000E2
2.279604608E1,4.687500000E2
2.289741108E1,5.390625000E2
2.299680423E1,3.281250000E2
2.309601569E1,3.046875000E2
2.319597785E1,1.640625000E2
2.329662954E1,3.281250000E2
2.339643169E1,3.046875000E2
2.349667254E1,1.406250000E2
2.359691346E1,1.640625000E2
2.369672185E1,1.640625000E2
2.380081131E1,5.859375000E2
2.389729569E1,1.406250000E2
2.399624023E1,4.218750000E2
2.409687816E1,4.218750000E2
2.419633846E1,6.093750000E2
2.429640608E1,2.578125000E2
2.439755385E1,1.406250000E2
2.450986554E1,3.515625000E2
2.459779900E1,3.750000000E2
2.469602239E1,3.984375000E2
2.479662154E1,3.984375000E2
2.489431900E1,3.984375000E2
2.499435262E1,3.984375000E2
2.509695069E1,3.984375000E2
2.519640731E1,3.515625000E2
2.529812708E1,3.281250000E2
2.541043877E1,3.281250000E2
2.550212000E1,1.640625000E2
2.559656516E1,4.687500000E2
2.569684031E1,2.343750000E2
2.579667446E1,1.406250000E2
2.589586946E1,1.406250000E2
2.599608085E1,1.989843750E4
2.609623200E1,1.640625000E2
2.620196985E1,1.640625000E2
2.629627662E1,1.406250000E2
2.639607293E1,4.687500000E2
2.649814739E1,1.406250000E2
2.659870339E1,1.875000000E2
2.669578739E1,3.984375000E2
2.679633939E1,2.109375000E2
2.689517254E1,4.218750000E2
2.699606677E1,1.406250000E2
2.709581908E1,1.640625000E2
2.719591439E1,6.562500000E2
2.729413039E1,1.406250000E2
2.739441192E1,1.171875000E2
2.749452431E1,3.984375000E2
2.759304923E1,5.156250000E2
2.769568146E1,1.171875000E2
2.779589169E1,1.406250000E2
2.789592246E1,1.171875000E2
2.799571069E1,1.640625000E2
2.809450793E1,3.515625000E2
2.819601662E1,1.640625000E2
2.829632023E1,1.171875000E2
2.839700546E1,2.343750000E2
2.850153877E1,9.375000000E1
2.859441346E1,1.171875000E2
2.869646677E1,1.406250000E2
2.879638362E1,3.984375000E2
2.889661531E1,3.750000000E2
2.899644454E1,1.406250000E2
2.909741692E1,2.578125000E2
2.919631446E1,3.046875000E2
2.929688923E1,3.984375000E2
2.940228362E1,3.281250000E2
2.949618146E1,2.812500000E2
2.959595200E1,3.046875000E2
2.969621654E1,3.515625000E2
2.979632646E1,1.640625000E2
2.990771592E1,1.171875000E2
2.999645716E1,2.578125000E2
3.009629439E1,5.859375000E2
3.019634400E1,2.578125000E2
3.029554800E1,3.515625000E2
3.039628093E1,1.992187500E4
3.049669539E1,2.022656250E4
3.059770085E1,2.343750000E2
3.070340892E1,1.987500000E4
3.079646300E1,3.281250000E2
3.089669531E1,1.968750000E3
3.099604154E1,3.515625000E2
3.109371777E1,3.281250000E2
3.119606731E1,1.406250000E2
3.129588339E1,2.578125000E2
3.139689316E1,3.984375000E2
3.150567785E1,3.515625000E2
3.159732546E1,1.989843750E4
3.169833016E1,4.218750000E2
3.179376392E1,1.406250000E2
3.189575900E1,1.406250000E2
3.199609077E1,3.515625000E2
3.209431469E1,1.171875000E2
3.219415531E1,2.343750000E2
3.229459477E1,5.625000000E2
3.240317908E1,1.999218750E4
3.249768616E1,2.343750000E2
3.259664800E1,1.989843750E4
3.269675500E1,1.171875000E2
3.279667785E1,9.375000000E1
3.289656000E1,3.984375000E2
3.299614000E1,2.578125000E2
3.309838493E1,2.578125000E2
3.320898608E1,1.968750000E3
3.329723292E1,1.982812500E4
3.339639385E1,1.992187500E4
3.349616700E1,1.171875000E2
3.359223539E1,5.625000000E2
3.369413662E1,1.171875000E2
3.379472916E1,2.343750000E2
3.389764369E1,1.994531250E4
3.399213931E1,6.328125000E2
3.409601131E1,1.171875000E2
3.419594831E1,1.171875000E2
3.429667600E1,5.859375000E2
3.440849569E1,4.218750000E2
3.449614393E1,4.218750000E2
3.459611569E1,1.171875000E2
3.469617931E1,1.406250000E2
3.480587777E1,1.406250000E2
3.489663016E1,1.171875000E2
3.499634523E1,3.515625000E2
3.509657192E1,1.171875000E2
3.519656923E1,3.984375000E2
3.529658523E1,6.328125000E2
3.539699846E1,1.406250000E2
3.549632208E1,1.945312500E3
3.559613846E1,2.109375000E2
3.570504823E1,1.996875000E4
3.579506916E1,2.017968750E4
3.589631192E1,2.812500000E2
3.600739323E1,2.578125000E2
3.610379539E1,2.578125000E2
3.619649416E1,1.406250000E2
3.629620608E1,1.406250000E2
3.639628700E1,2.109375000E2
3.650556577E1,1.945312500E3
3.660332885E1,5.625000000E2
3.669627777E1,3.515625000E2
3.679624462E1,3.984375000E2
3.689386023E1,1.989843750E4
3.699658769E1,3.984375000E2
3.709617746E1,2.578125000E2
3.719554885E1,2.343750000E2
3.729558585E1,2.578125000E2
3.739502885E1,1.406250000E2
3.749716116E1,1.945312500E3
3.759512677E1,2.343750000E2
3.769563877E1,1.171875000E2
3.779637354E1,7.031250000E2
3.789584516E1,2.343750000E2
3.799498000E1,2.343750000E2
3.809607939E1,2.343750000E2
3.819550339E1,2.578125000E2
3.829761716E1,1.987500000E4
3.839338639E1,2.812500000E2
3.849598185E1,1.968750000E3
3.859583539E1,1.982812500E4
3.870571192E1,1.994531250E4
3.880428185E1,1.968750000E3
3.889622270E1,2.578125000E2
3.899642731E1,1.996875000E4
3.910398985E1,2.025000000E4
3.919600339E1,1.406250000E2
3.929658854E1,1.989843750E4
3.939636639E1,1.640625000E2
3.950355846E1,3.984375000E2
3.959633877E1,5.625000000E2
3.969631592E1,6.796875000E2
3.979509100E1,7.031250000E2
3.989542362E1,5.625000000E2
3.999694370E1,5.859375000E2
4.009588092E1,1.640625000E2
4.019642362E1,1.640625000E2
4.030103139E1,1.989843750E4
4.039521900E1,1.640625000E2
4.049587470E1,3.046875000E2
4.059654362E1,4.687500000E2
4.069444423E1,3.046875000E2
4.080289877E1,2.812500000E2
4.089870185E1,2.812500000E2
4.099648923E1,5.625000000E2
4.109713900E1,3.046875000E2
4.119547539E1,1.171875000E2
4.129594246E1,1.406250000E2
4.139550823E1,7.031250000E1
4.150058300E1,2.578125000E2
4.159688831E1,1.406250000E2
4.169854270E1,1.171875000E2
4.179643723E1,2.812500000E2
4.189404708E1,1.996875000E4
4.199641970E1,1.640625000E2
4.209587377E1,3.984375000E3
