"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.907812500E4,6.020361314E-2
1.910156250E4,8.970070330E-2
1.912500000E4,4.795702197E-2
1.914843750E4,6.737651669E-3
1.917187500E4,1.800034959E-2
1.919531250E4,3.978945963E-2
1.921875000E4,1.889244330E-2
1.924218750E4,1.125435855E-2
1.926562500E4,2.562536444E-2
1.928906250E4,2.364187765E-2
1.931250000E4,2.786101533E-2
1.933593750E4,6.382650067E-2
1.935937500E4,7.350524477E-2
1.938281250E4,5.519281001E-2
1.940625000E4,3.102523522E-2
1.942968750E4,2.384549972E-2
1.945312500E4,6.190821598E-2
1.947656250E4,1.462209945E-2
1.950000000E4,3.507289934E-2
1.952343750E4,1.062590236E-1
1.954687500E4,5.483774431E-2
1.957031250E4,3.803832831E-2
1.959375000E4,4.320452990E-2
1.961718750E4,1.892410288E-2
1.964062500E4,2.459887465E-2
1.966406250E4,4.824668736E-3
1.968750000E4,5.081111077E-2
1.971093750E4,2.824126409E-2
1.973437500E4,7.669318686E-2
1.975781250E4,4.868987955E-2
1.978125000E4,6.141006140E-2
1.980468750E4,6.057424049E-2
1.982812500E4,6.389596628E-2
1.985156250E4,2.629243727E-2
1.987500000E4,1.017884912E-1
1.989843750E4,4.128874223E-1
1.992187500E4,4.981984779E-2
1.994531250E4,6.556046090E-2
1.996875000E4,7.020949627E-2
1.999218750E4,2.666808623E-1
2.001562500E4,2.130017676E-1
2.003906250E4,4.462933021E-1
2.006250000E4,1.085499817E0
2.008593750E4,2.806523450E-1
2.010937500E4,1.715798668E-1
2.013281250E4,2.174191121E-1
2.015625000E4,1.950005051E-1
2.017968750E4,2.160152596E-1
2.020312500E4,8.106610502E-1
2.022656250E4,3.187085542E-1
2.025000000E4,1.745305082E-1
2.027343750E4,4.982986310E-2
2.029687500E4,2.923349440E-2
2.032031250E4,2.526310430E-2
2.034375000E4,2.936023170E-2
2.036718750E4,3.556783962E-1
2.039062500E4,6.732887294E-2
2.041406250E4,3.932771807E-2
2.043750000E4,2.224582161E-2
2.046093750E4,1.148232845E-2
2.048437500E4,5.616656746E-2
2.050781250E4,1.117968336E-1
2.053125000E4,9.744961283E-2
2.055468750E4,1.056866860E-1
2.057812500E4,5.098098193E-2
2.060156250E4,8.178159246E-2
2.062500000E4,3.270774914E-2
2.064843750E4,4.829626084E-2
2.067187500E4,3.778391995E-2
2.069531250E4,8.684172264E-2
2.071875000E4,2.032855340E-2
2.074218750E4,1.036955311E-1
2.076562500E4,3.046705543E-2
2.078906250E4,1.877445608E-2
2.081250000E4,4.815116992E-2
2.083593750E4,5.567025596E-2
2.085937500E4,4.618335285E-2
2.088281250E4,3.008598479E-2
2.090625000E4,3.421651141E-2
2.092968750E4,9.086371636E-3
2.095312500E4,1.816388343E-2
2.097656250E4,7.277999500E-2
2.100000000E4,6.044722491E-2
2.102343750E4,5.103437762E-2
2.104687500E4,5.465119619E-2
2.107031250E4,3.396875746E-2
2.109375000E4,2.982836024E-2
2.111718750E4,1.285037441E-2
2.114062500E4,2.734027416E-2
2.116406250E4,1.784615807E-2
2.118750000E4,3.092056179E-2
2.121093750E4,2.196127436E-2
2.123437500E4,1.389898195E-2
2.125781250E4,3.066876836E-2
2.128125000E4,2.350825511E-2
2.130468750E4,2.096608601E-2
2.132812500E4,2.260109079E-2
2.135156250E4,9.117899550E-3
2.137500000E4,2.666394425E-2
2.139843750E4,1.026731340E-2
2.142187500E4,2.252384408E-2
2.144531250E4,2.859353201E-2
2.146875000E4,2.995896715E-2
2.149218750E4,4.223294397E-3
2.151562500E4,1.955469319E-2
2.153906250E4,2.010819737E-2
2.156250000E4,5.951105485E-3
2.158593750E4,1.917904981E-2
2.160937500E4,2.528454781E-2
2.163281250E4,6.008703034E-3
2.165625000E4,1.420992005E-2
2.167968750E4,3.397250534E-2
2.170312500E4,8.926146474E-3
2.172656250E4,2.081325469E-2
2.175000000E4,1.817281312E-2
2.177343750E4,1.407921654E-2
2.179687500E4,1.085795447E-2
2.182031250E4,3.038805918E-2
2.184375000E4,2.245411550E-2
2.186718750E4,2.811907410E-2
2.189062500E4,2.360481861E-2
2.191406250E4,5.821625489E-2
2.193750000E4,5.096251444E-2
2.196093750E4,7.232386956E-2
2.198437500E4,1.173092963E-1
2.200781250E4,3.125008163E-1
2.203125000E4,1.100131451E0
2.205468750E4,2.063352684E-1
2.207812500E4,1.120311864E-1
2.210156250E4,8.401702402E-2
2.212500000E4,7.072959914E-2
2.214843750E4,7.277471173E-2
2.217187500E4,5.366189441E-2
2.219531250E4,4.685529949E-2
2.221875000E4,5.474072395E-2
2.224218750E4,4.838416634E-2
2.226562500E4,2.223106922E-2
2.228906250E4,2.144649807E-2
2.231250000E4,2.761585832E-2
2.233593750E4,2.818103460E-2
2.235937500E4,2.395314971E-2
2.238281250E4,2.847981099E-2
2.240625000E4,2.894550697E-2
2.242968750E4,3.449333293E-2
2.245312500E4,2.034584531E-2
2.247656250E4,5.023263713E-3
2.250000000E4,1.986526671E-2
2.252343750E4,1.546976604E-2
2.254687500E4,2.863116981E-2
2.257031250E4,2.029679337E-2
2.259375000E4,2.945828743E-2
2.261718750E4,1.747384573E-2
2.264062500E4,1.596238143E-2
2.266406250E4,1.675029557E-2
2.268750000E4,2.938612065E-2
2.271093750E4,2.990629324E-2
2.273437500E4,2.279499685E-2
2.275781250E4,1.477820498E-2
2.278125000E4,3.211818743E-2
2.280468750E4,1.529616951E-2
2.282812500E4,1.051401584E-2
2.285156250E4,2.609465727E-2
2.287500000E4,1.746422298E-2
2.289843750E4,3.650457271E-2
2.292187500E4,1.887109686E-2
2.294531250E4,1.255056718E-2
2.296875000E4,2.666295698E-2
2.299218750E4,1.861775399E-2
2.301562500E4,1.558198370E-2
2.303906250E4,1.297006199E-2
2.306250000E4,1.760409904E-2
2.308593750E4,2.646000163E-2
2.310937500E4,6.339926028E-3
2.313281250E4,2.724099082E-2
2.315625000E4,1.470914799E-2
2.317968750E4,8.877233054E-3
2.320312500E4,2.909099926E-2
2.322656250E4,3.160281747E-2
2.325000000E4,2.458442045E-2
2.327343750E4,2.523878812E-2
2.329687500E4,1.750383654E-2
2.332031250E4,1.311877565E-2
2.334375000E4,1.189712023E-2
2.336718750E4,1.222032131E-2
2.339062500E4,2.773767278E-2
2.341406250E4,3.559323373E-2
2.343750000E4,5.494980858E-2
2.346093750E4,1.050034118E-2
2.348437500E4,1.505289312E-2
2.350781250E4,1.181888977E-2
2.353125000E4,7.699420016E-3
2.355468750E4,6.027345020E-3
2.357812500E4,1.817205786E-2
2.360156250E4,1.989931872E-2
2.362500000E4,1.365624920E-2
2.364843750E4,7.383217110E-3
2.367187500E4,2.947168934E-2
2.369531250E4,1.949312274E-2
2.371875000E4,2.601398731E-2
2.374218750E4,1.618595990E-3
2.376562500E4,1.321644046E-2
2.378906250E4,1.382006795E-2
2.381250000E4,2.541470958E-3
2.383593750E4,1.200712736E-2
2.385937500E4,1.257103295E-2
2.388281250E4,1.093538645E-2
2.390625000E4,1.852806862E-2
2.392968750E4,9.366990102E-3
2.395312500E4,1.371602322E-2
2.397656250E4,1.517987662E-2
