"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.382812500E3,4.860674255E0
4.406250000E3,6.468810538E-1
4.429687500E3,9.630709368E-2
4.453125000E3,1.674666127E-2
4.476562500E3,3.856196633E-2
4.500000000E3,7.413446852E-3
4.523437500E3,2.093335430E-2
4.546875000E3,2.821263385E-2
4.570312500E3,3.720361521E-2
4.593750000E3,3.085820851E-2
4.617187500E3,1.389284439E-2
4.640625000E3,2.654868990E-2
4.664062500E3,3.779734298E-2
4.687500000E3,3.062745443E-2
4.710937500E3,4.207057975E-2
4.734375000E3,2.611228982E-2
4.757812500E3,3.517759625E-2
4.781250000E3,2.152065223E-2
4.804687500E3,2.161568400E-2
4.828125000E3,4.485319342E-2
4.851562500E3,9.287615649E-2
4.875000000E3,1.193043292E-1
4.898437500E3,6.206961407E-2
4.921875000E3,1.886559394E-2
4.945312500E3,2.036197906E-2
4.968750000E3,3.427792182E-2
4.992187500E3,1.306611934E-2
5.015625000E3,2.922307737E-2
5.039062500E3,2.400273629E-2
5.062500000E3,3.742966993E-2
5.085937500E3,7.229235798E-3
5.109375000E3,4.464823977E-2
5.132812500E3,4.161731394E-2
5.156250000E3,3.066461255E-2
5.179687500E3,2.022403413E-2
5.203125000E3,2.515107642E-2
5.226562500E3,4.313798907E-2
5.250000000E3,3.435452123E-2
5.273437500E3,2.451217680E-2
5.296875000E3,6.151775895E-2
5.320312500E3,4.947009765E-2
5.343750000E3,7.739086698E-2
5.367187500E3,7.958488804E-2
5.390625000E3,3.964635232E-2
5.414062500E3,2.430823572E-2
5.437500000E3,3.001578270E-2
5.460937500E3,4.522378670E-2
5.484375000E3,1.387753441E-2
5.507812500E3,3.368211474E-2
5.531250000E3,1.371140653E-2
5.554687500E3,3.142734443E-2
5.578125000E3,2.427562419E-2
5.601562500E3,3.509871337E-2
5.625000000E3,4.176664716E-2
5.648437500E3,2.980147460E-2
5.671875000E3,2.499387004E-2
5.695312500E3,1.178035923E-2
5.718750000E3,1.027443070E-2
5.742187500E3,1.650172443E-2
5.765625000E3,1.106198885E-2
5.789062500E3,7.227641933E-2
5.812500000E3,9.359717306E-2
5.835937500E3,2.415235638E-1
5.859375000E3,9.691756606E-2
5.882812500E3,3.943423371E-2
5.906250000E3,7.086012850E-2
5.929687500E3,3.477879288E-2
5.953125000E3,4.733633661E-3
5.976562500E3,2.192409553E-2
6.000000000E3,9.545136072E-3
6.023437500E3,1.690675901E-2
6.046875000E3,1.218853970E-2
6.070312500E3,1.741765808E-2
6.093750000E3,1.104960482E-2
6.117187500E3,2.331156775E-2
6.140625000E3,1.881922473E-2
6.164062500E3,9.491048675E-3
6.187500000E3,1.836629884E-2
6.210937500E3,1.852030991E-2
6.234375000E3,2.304248426E-2
6.257812500E3,1.902642609E-2
6.281250000E3,3.349910484E-2
6.304687500E3,1.275620131E-1
6.328125000E3,5.023904443E-1
6.351562500E3,1.252580061E-1
6.375000000E3,4.606238695E-2
6.398437500E3,6.866227007E-2
6.421875000E3,4.126717192E-2
6.445312500E3,5.162950195E-2
6.468750000E3,3.362418323E-2
6.492187500E3,4.002100254E-2
6.515625000E3,3.082087464E-2
6.539062500E3,1.910237950E-2
6.562500000E3,1.675046584E-2
6.585937500E3,1.986796260E-2
6.609375000E3,1.620754855E-2
6.632812500E3,2.757395476E-2
6.656250000E3,3.782768436E-2
6.679687500E3,3.348712609E-2
6.703125000E3,1.467335934E-2
6.726562500E3,2.176145726E-2
6.750000000E3,1.951404559E-2
6.773437500E3,2.749699508E-2
6.796875000E3,1.022913888E-1
6.820312500E3,2.282270190E-1
6.843750000E3,5.363101756E-2
6.867187500E3,4.058532260E-2
6.890625000E3,2.533146179E-2
6.914062500E3,3.741106579E-2
6.937500000E3,4.638192659E-2
6.960937500E3,2.825825210E-2
6.984375000E3,4.750268300E-2
7.007812500E3,4.585011302E-2
7.031250000E3,4.689244068E-2
7.054687500E3,4.858080294E-2
7.078125000E3,3.901870801E-2
7.101562500E3,6.319960458E-2
7.125000000E3,5.252173005E-2
7.148437500E3,6.119449811E-2
7.171875000E3,9.331524228E-2
7.195312500E3,1.066292741E-1
7.218750000E3,1.517629642E-1
7.242187500E3,1.910840166E-1
7.265625000E3,3.598863096E-1
7.289062500E3,7.045430140E-1
7.312500000E3,1.116011404E0
7.335937500E3,4.005215138E-1
7.359375000E3,1.862912954E-1
7.382812500E3,1.385926929E-1
7.406250000E3,1.154254536E-1
7.429687500E3,7.498388886E-2
7.453125000E3,6.991060726E-2
7.476562500E3,6.055772713E-2
7.500000000E3,6.117936279E-2
7.523437500E3,6.874041316E-2
7.546875000E3,5.407416855E-2
7.570312500E3,4.273094118E-2
7.593750000E3,5.511356423E-2
