"Time (s)","Recording (a.u.)"
3.583333333E-3,-6.103701895E-4
3.604166667E-3,3.845332194E-3
3.625000000E-3,3.906369213E-3
3.645833333E-3,7.965330973E-3
3.666666667E-3,7.263405255E-3
3.687500000E-3,4.181035798E-3
3.708333333E-3,2.746665853E-4
3.729166667E-3,-4.272591327E-3
3.750000000E-3,-7.568590350E-3
3.770833333E-3,-7.110812708E-3
3.791666667E-3,-5.340739158E-3
3.812500000E-3,-4.730368969E-3
3.833333333E-3,-2.471999268E-3
3.854166667E-3,-1.861629078E-3
3.875000000E-3,3.143406476E-3
3.895833333E-3,5.005035554E-3
3.916666667E-3,8.850367748E-3
3.937500000E-3,6.561479537E-3
3.958333333E-3,3.997924741E-3
3.979166667E-3,-1.861629078E-3
4.000000000E-3,-2.685628834E-3
4.020833333E-3,-1.647999512E-3
4.041666667E-3,-2.136295663E-4
4.062500000E-3,6.164738914E-3
4.083333333E-3,5.615405744E-3
4.104166667E-3,1.037629322E-2
4.125000000E-3,8.209479049E-3
4.145833333E-3,1.135288553E-2
4.166666667E-3,8.728293710E-3
4.187500000E-3,6.805627613E-3
4.208333333E-3,2.075258644E-3
4.229166667E-3,-4.730368969E-3
4.250000000E-3,-5.401776177E-3
4.270833333E-3,-9.643848994E-3
4.291666667E-3,-5.157628101E-3
4.312500000E-3,-1.861629078E-3
4.333333333E-3,3.173924986E-3
4.354166667E-3,6.286812952E-3
4.375000000E-3,8.056886502E-3
4.395833333E-3,6.500442518E-3
4.416666667E-3,6.408886990E-3
4.437500000E-3,9.460737938E-4
4.458333333E-3,2.502517777E-3
4.479166667E-3,-3.143406476E-3
4.500000000E-3,-1.678518021E-3
4.520833333E-3,-2.716147343E-3
4.541666667E-3,-5.188146611E-4
4.562500000E-3,4.333628346E-3
4.583333333E-3,4.211554308E-3
4.604166667E-3,1.095614490E-2
4.625000000E-3,5.615405744E-3
4.645833333E-3,6.286812952E-3
4.666666667E-3,-3.051850948E-4
4.687500000E-3,-2.899258400E-3
4.708333333E-3,-1.953184606E-3
4.729166667E-3,-2.258369701E-3
4.750000000E-3,2.746665853E-3
4.770833333E-3,6.103701895E-4
4.791666667E-3,1.159703360E-3
4.812500000E-3,-1.068147832E-3
4.833333333E-3,1.129184851E-3
4.854166667E-3,2.685628834E-3
